cid  ;ano;aaua;nvt;rm;abt;eec;cmp;pibpc;att;mert;dd;at;dsmc;fvt;meit;mct;cavt;mpet;vhd;meft;lat;vlc;vhct;mem;ipdm;mep;hiv;obit;bcg;hepa;hepb;poli;fa;dmt;rota;meni;pne;tri;tet;dtp;tpb;papi;cvdt;cvta;aaq;saldo;class
Abatiá;2011;2163;102;11557813,09;1;7056;1903;15122;9;1642;33,91;227,898;380,36;2569;131;64;342770;67;;1103;;;;408;0,6287;;;67;126,51;;114,46;130,12;112,05;10980369,51;124,1;156,63;133,73;100;;130,12;;;;;;577443,58;positivo
Adrianópolis;2011;1131;71;14512872,02;1;4750;1096;11681;3;1701;4,72;1341,334;134,9;1755;140;32;181281;108;;1150;;;;411;0,6183;;;47;114,89;;125,53;146,81;134,04;13433216,47;136,17;57,45;69,15;137,23;;146,81;;;;;;1079655,55;positivo
Agudos do Sul;2011;1485;103;12047572,99;1;7855;1283;10445;5;1958;43,66;191,282;73,05;3500;176;46;215308;130;;1383;;;;399;0,5357;;;63;158,49;;141,51;133,96;106,6;10961842,68;133,02;131,13;93,4;124,53;;133,96;;;;;;1085730,31;positivo
Almirante Tamandaré;2011;29273;1871;71342446,5;4;126271;1069;8002;224;20810;546,01;191,114;15,15;37746;1555;575;4790723;980;;15928;;;;3327;0,6215;;32;636;107,09;;98,03;98,37;74,73;65461487,96;73,1;95,67;63,42;83,57;;97,92;;;;;;5880958,54;positivo
Altamira do Paraná;2011;837;59;10538058,41;;3841;1140;10262;5;1065;10,59;387,315;519,24;1213;94;76;125993;18;;716;;;;255;0,6563;;;33;130,77;;101,92;109,62;111,54;10127916,28;101,92;125;88,46;121,15;;109,62;;;;;;410142,130000001;positivo
Alto Paraíso;2011;965;37;13981162,48;;4604;615;12742;1;803;3,02;1045,718;641,27;1145;142;41;150778;101;;509;;;;152;0,6974;;1;33;82,61;;80,43;73,91;71,74;12772256;86,96;97,83;86,96;23,91;;73,91;;;;;;1208906,48;positivo
Alto Paraná;2011;4231;188;24964583,23;3;18950;2283;11501;65;2972;33,7;407,635;485,69;5326;447;157;651917;290;;1975;;;;550;0,7006;;2;99;116,05;;133,33;123,46;112,96;20089573,74;116,67;177,16;138,27;127,78;;121,6;;;;;;4875009,49;positivo
Alto Piquiri;2011;3097;133;14974126,3;3;12277;2009;13835;36;2072;22,83;444,008;607,95;3454;294;152;478053;142;;1403;;;;375;0,6828;;1;99;128,8;;120,8;113,6;106,4;14314969,02;104,8;60;57,6;108;;121,6;;;;;;659157,280000001;positivo
Altônia;2011;5961;262;31174190,4;4;30996;4367;8463;35;4103;28,27;729,317;649,71;9353;809;364;921446;445;;2557;;;;737;0,7297;;1;166;104,47;;87,4;87,4;94,31;35207896,03;87,4;113,82;78,05;97,15;;87,4;;;;;;-4033705,63;negativo
Alvorada do Sul;2011; ;92;19044223,2;2;12730;1354;13136;26;1954;24,8;417,91;453,71;3761;269;117;;152;;1216;;;;396;0,686;73;1;77;109,64;;108,43;114,46;103,61;18630439,61;103,61;160,24;109,64;107,23;;118,07;;;;;;413783,59;positivo
Amaporã;2011;1482;85;11307433,33;1;10515;1479;9211;3;1369;14,3;384,838;534,37;1596;156;48;231853;108;;953;;;;260;0,655;;;34;104,76;;98,81;92,86;86,9;10662966,01;89,29;100;110,71;97,62;;95,24;;;;;;644467,32;positivo
Ampére;2011;5030;221;26805530,16;3;30786;3886;17530;86;3980;58,76;296,751;530,91;8264;590;221;732923;369;;2617;;;;773;0,7429;;2;117;105,11;;74,47;85,53;74,04;26284793,69;74,04;95,32;71,91;95,74;;84,68;;;;;;520736,469999999;positivo
Anahy;2011;848;28;9038162,33;;3487;819;16613;;651;27,99;102,331;546,44;1267;102;54;124958;48;;399;;;;150;0,6879;;;27;54,29;;100;97,14;108,57;8343341,27;111,43;145,71;94,29;117,14;;97,14;;;;;;694821,060000001;positivo
Andirá;2011; ;246;38794976,63;4;67080;2183;21586;76;4476;88,01;233,261;399,92;9851;632;307;;325;;2945;;;;784;0,7476;115;2;157;90,44;;86,03;89,71;88,6;36764170,18;82,72;129,04;97,06;84,93;;90,81;;;;;;2030806,45;positivo
Ângulo;2011;1055;37;8368702,81;;5051;541;15978;1;644;27,01;105,931;444,7;1134;156;41;216080;115;;377;;;;111;0,6902;;1;24;87,88;;93,94;103,03;87,88;7589402,71;93,94;124,24;100;84,85;;112,12;;;;;;779300,1;positivo
Antonina;2011;6200;225;34980866,76;4;23913;453;14965;86;4656;21,53;876,551;80;3290;440;141;1105000;299;;3240;;;;791;0,5985;185;4;170;108,3;;100,83;114,52;74,69;32716819;89,63;88,38;95,85;100,41;;114,52;;;;;;2264047,76;positivo
Antônio Olinto;2011;622;77;12893100,94;;6542;1477;14588;9;1708;15,74;466,632;145,15;2501;164;;90110;164;;1246;;;;298;0,6604;;;60;91,14;;111,39;116,46;113,92;11841950,1;107,59;163,29;116,46;113,92;;116,46;;;;;;1051150,84;positivo
Apucarana;2011;43296;1671;165026791,2;10;287685;21665;15733;1297;26928;219,53;555,395;362,7;61181;4447;1598;7077578;2849;;16241;;;;5441;0,7942;799;34;838;126,77;;95,77;96,47;86,04;154081320,71;85,86;121,21;98,38;91,77;;96,52;;;;;;10945470,49;positivo
Arapongas;2011;39054;1486;135163862,52;12;353973;24165;29360;1430;21649;276,69;381,615;379,65;63241;2601;1665;6161835;936;;14590;;;;4157;0,7952;301;28;718;111,76;;101,44;108,53;120,36;119107111,38;96,42;125,24;100,96;126,34;;108,6;;;;;;16056751,14;positivo
Arapoti;2011;7846;380;45138877,4;4;446332;3908;25748;60;6938;19,09;1362,062;247,13;9567;1041;393;1174714;648;;4250;;;;1379;0,7126;268;;185;90,93;;91,65;96,66;86,4;41060036,47;82,34;131,5;94,75;94,27;;96,66;;;;;;4078840,93;positivo
Arapuã;2011;604;47;9459909,01;;4136;649;15417;;868;16,12;218,04;375,58;1465;97;59;85992;38;;596;;;;175;0,6226;;;31;104,26;;102,13;100;100;8958714,77;106,38;144,68;95,74;117,02;;102,13;;;;;;501194,24;positivo
Araruna;2011;4022;163;19543504,78;3;27665;2709;21853;35;2866;27,38;491,078;469,38;6072;468;165;615080;303;;1786;;;;612;0,7257;;1;96;120,89;;121,52;122,15;127,22;18047972,01;83,54;112,03;96,84;115,82;;124,05;;;;;;1495532,77;positivo
Araucária;2011;37839;2249;627592317,97;10;824086;16900;60642;953;32569;256,78;471,337;28,6;61700;3375;1371;7229469;2004;;22211;;;;5957;0,7993;1026;26;709;102,54;;109,75;107,21;73,73;542600658,38;94,68;120,85;98,01;112,84;;107,21;;;;;;84991659,59;positivo
Ariranha do Ivaí;2011;397;31;8546095,81;;2240;833;18911;;475;10,19;237,582;371,12;836;78;25;58218;53;;295;;;;102;0,7001;;;12;91,18;;111,76;108,82;105,88;8022360,26;108,82;120,59;111,76;129,41;;105,88;;;;;;523735,550000001;positivo
Assaí;2011;5176;221;24496474,75;5;43953;2583;19759;100;3726;36,87;440,012;378,51;8083;580;410;835263;170;;2252;;;;715;0,7189;179;4;129;89,92;;92,02;90,34;97,06;24282908,54;99,16;126,89;94,54;97,48;;89,92;;;;;;213566,210000001;positivo
Assis Chateaubriand;2011;11675;418;49671369,19;5;69004;4773;18720;180;7436;34,16;966,158;577,96;18458;1021;471;1824205;550;;4441;;;;1683;0,715;291;3;251;102,02;;97,73;101,76;89,17;47364866,13;97,73;119,4;101,01;93,95;;102,02;;;;;;2306503,05999999;positivo
Astorga;2011;9064;349;39620775,76;5;39754;4001;13934;60;5319;56,84;435,994;416,21;13257;932;360;1436924;572;;3225;;;;1053;0,7641;109;1;192;107,36;;104,68;103,68;104,01;35153412,77;105,02;153,51;103,68;106,35;;103,68;;;;;;4467362,98999999;positivo
Atalaia;2011;1332;46;9188887,3;;5730;663;17758;;821;28,36;137,724;475,56;1792;153;86;217582;67;;515;;;;153;0,7882;;;31;89,47;;107,89;102,63;81,58;8313314,48;102,63;113,16;97,37;131,58;;100;;;;;;875572,82;positivo
